name,personality,total votes,first letter votes percentage,second letter votes percentage,third letter votes percentage,fourth letter votes percentage,first function,second function,third function,fourth function,Instinctual_Variant_type,Tritype_type,Socionics_type,Big5_type,Attitudinal_Psyche_type,Temperaments_type,fourletters_type_votes,Instinctual_Variant_total_votes,Tritype_total_votes,Socionics_total_votes,Big5_total_votes,Attitudinal_Psyche_total_votes,Temperaments_total_votes,Instinctual_Variant_type_votes,Tritype_type_votes,Socionics_type_votes,Big5_type_votes,Attitudinal_Psyche_type_votes,Temperaments_type_votes
Edward Snowden,intp,445,98%,95%,90%,59%,Ti,Ne,Si,Fe,sp/so,153,LII,RCOAI,VLEF,Phlegmatic [Dominant],216,41,47,44,13,14,28,27,25,36,11,5,18
"Ian Carter ""iDubbbz"" (iDubbbzTV)",intp,441,85%,93%,98%,95%,Ti,Ne,Si,Fe,sp/sx,549,ILE,RCUEI,LFVE,Phlegmatic-Choleric,330,45,37,36,24,14,30,29,13,27,21,9,23
Poppy (Character),intp,422,99%,93%,87%,95%,Ti,Ne,Si,Fe,sp/sx,538,ILI,RLUAI,FLEV,Phlegmatic-Melancholic,345,49,33,20,19,2,35,18,11,10,11,1,17
Go Won (LOONA),intp,422,99%,92%,87%,97%,Ti,Ne,Si,Fe,sp/so,974,SEI,RCUAI,LFEV,Phlegmatic-Sanguine,362,48,39,19,21,11,44,45,13,9,11,7,25
Erkan Porçay,intp,428,84%,97%,62%,64%,Ti,Ne,Si,Fe,so/sp,459,ESI,RCUEI,LEVF,Melancholic-Phlegmatic,193,35,43,27,14,13,37,21,16,13,7,5,21
Rowan Atkinson,intp,449,78%,97%,98%,96%,Ti,Ne,Si,Fe,sp/sx,541,ILE,RCUEI,LVFE,Phlegmatic [Dominant],332,32,33,36,10,10,29,26,22,15,9,7,26
Elliot Page,intp,447,95%,80%,88%,96%,Ti,Ne,Si,Fe,sx/sp,549,ILI,RLOAI,FVLE,Melancholic-Phlegmatic,319,41,26,22,10,9,28,33,19,13,8,4,24
Jesse Eisenberg,intp,404,99%,98%,98%,97%,Ti,Ne,Si,Fe,sp/so,594,LII,RLUEI,LVEF,Melancholic [Dominant],381,37,22,19,13,7,31,32,19,15,8,5,22
Yoshihiro Togashi,intp,406,100%,99%,99%,99%,Ti,Ne,Si,Fe,sp/sx,549,ILI,RCUEI,LVEF,Phlegmatic-Melancholic,397,27,22,26,22,11,28,24,20,21,17,10,18
Haerin (NewJeans),intp,504,98%,80%,71%,94%,Ti,Ne,Si,Fe,sp/sx,549,LII,RCUAI,ELFV,Phlegmatic [Dominant],250,22,19,15,16,11,29,10,10,8,10,5,24
Mysta Rias,intp,388,57%,99%,87%,100%,Ti,Ne,Si,Fe,so/sx,792,ILE,RLUAI,ELFV,Sanguine-Melancholic,205,42,32,15,16,9,28,27,12,7,10,4,21
Aldous Huxley,intp,331,60%,100%,54%,91%,Ti,Ne,Si,Fe,sx/so,548,ILE,RCUEI,LVEF,Melancholic-Phlegmatic,144,27,31,44,14,6,18,19,19,16,9,5,14
Richard Dawkins,intp,314,85%,82%,99%,75%,Ti,Ne,Si,Fe,so/sp,531,LSE,RCOEI,LVFE,Phlegmatic-Choleric,223,32,34,40,14,10,27,21,11,23,11,7,21
Gawr Gura,intp,367,96%,78%,55%,99%,Ti,Ne,Si,Fe,sp/so,694,SEI,RCUAN,FELV,Phlegmatic-Sanguine,186,39,34,27,16,12,26,35,27,21,7,9,23
Goularte,intp,268,98%,85%,79%,83%,Ti,Ne,Si,Fe,sp/so,925,SLI,RCUAI,LEFV,Phlegmatic [Dominant],191,56,39,17,21,8,63,35,13,7,17,7,58
Faline San,intp,273,88%,97%,88%,99%,Ti,Ne,Si,Fe,sp/so,594,ILE,RCUAI,FLEV,Sanguine-Phlegmatic,211,37,36,26,28,13,35,24,17,13,18,10,24
Kagamine Len,intp,341,83%,89%,77%,96%,Ti,Ne,Si,Fe,sp/sx,549,ILI,RLUEI,FLEV,Melancholic [Dominant],217,27,25,15,16,3,37,21,13,8,9,3,20
Max Stirner,intp,257,96%,97%,93%,66%,Ti,Ne,Si,Fe,sp/sx,548,ILI,RLOEI,LVEF,Melancholic-Phlegmatic,139,44,50,46,20,12,31,36,32,37,10,8,15
Amanda Seyfried,intp,363,95%,76%,73%,95%,Ti,Ne,Si,Fe,so/sp,945,SLI,RCUEI,FLEV,Phlegmatic-Sanguine,241,25,26,16,21,4,24,14,11,8,10,3,15
Leon Martins (Coisa de Nerd),intp,262,100%,94%,99%,87%,Ti,Ne,Si,Fe,sp/so,513,LII,RCOEI,LVEF,Phlegmatic [Dominant],221,49,37,20,31,11,54,42,22,18,18,6,35
Galileo Galilei,intp,308,87%,93%,98%,88%,Ti,Ne,Si,Fe,sp/so,512,ILE,SCUEI,LVEF,Melancholic-Phlegmatic,233,30,32,28,12,13,25,16,16,23,7,7,19
Robert James Rallison (TheOdd1sOut),intp,316,79%,98%,78%,99%,Ti,Ne,Si,Fe,sp/so,592,ILE,RCUAI,LEFV,Sanguine-Phlegmatic,226,25,27,13,18,7,26,22,13,8,12,3,17
Matt Sturniolo,intp,298,99%,59%,92%,96%,Ti,Ne,Si,Fe,sp/so,964,SLI,RCUAI,FLEV,Phlegmatic [Dominant],152,39,34,13,25,10,35,20,26,9,13,7,27
Bill Wurtz,intp,293,94%,99%,92%,99%,Ti,Ne,Si,Fe,sp/sx,459,ILE,RCUAI,ELVF,Phlegmatic-Melancholic,247,25,29,21,12,8,16,18,16,18,8,4,15
Maxim Tarasenko (TheBrianMaps),intp,243,58%,96%,72%,98%,Ti,Ne,Si,Fe,sp/so,974,IEE,RCUAI,LEVF,Sanguine-Phlegmatic,127,34,47,15,24,22,50,24,20,7,13,8,35
Ghostemane,intp,241,98%,93%,77%,92%,Ti,Ne,Si,Fe,sx/sp,548,ILI,RLUEI,FLEV,Melancholic [Dominant],167,41,33,21,12,10,28,32,20,18,10,6,19
MF DOOM,intp,208,97%,96%,100%,100%,Ti,Ne,Si,Fe,sp/sx,549,ILE,RCUEI,LFVE,Sanguine-Melancholic,192,41,40,33,19,12,29,36,27,28,18,7,11
Lao Tzu,intp,299,89%,99%,53%,77%,Ti,Ne,Si,Fe,sp/so,954,ILI,RCOAI,LVFE,Phlegmatic [Dominant],116,22,21,22,11,18,18,18,10,12,6,16,14
Hendery (WayV) (NCT),intp,281,63%,98%,95%,99%,Ti,Ne,Si,Fe,so/sp,972,ILE,SCUAI,LEFV,Phlegmatic-Sanguine,169,35,25,10,11,2,23,26,11,8,10,1,20
Alok Kanojia ( Dr.K / HealthyGamerGG ),intp,274,71%,99%,67%,68%,Ti,Ne,Si,Fe,so/sp,162,IEE,SCOAI,LVFE,Phlegmatic-Sanguine,137,35,24,24,13,6,14,21,8,15,9,4,11
Blaise Pascal,intp,228,72%,98%,93%,95%,Ti,Ne,Si,Fe,sp/so,514,ILE,RLOAI,LEVF,Phlegmatic-Sanguine,144,25,21,28,19,28,20,14,15,15,14,26,10
Joana Ceddia,intp,305,90%,98%,79%,96%,Ti,Ne,Si,Fe,sp/so,639,IEE,RLUAI,LEFV,Sanguine [Dominant],230,25,12,10,15,5,14,25,9,7,8,3,8
John Locke,intp,242,96%,94%,97%,93%,Ti,Ne,Si,Fe,sp/so,512,LII,RCOAI,LVEF,Phlegmatic-Choleric,212,27,22,30,10,13,17,20,15,24,8,8,14
Yeosang (ATEEZ),intp,265,99%,83%,78%,87%,Ti,Ne,Si,Fe,sp/sx,962,LII,RCUAI,LFEV,Phlegmatic [Dominant],195,29,27,14,9,5,26,19,14,12,6,5,24
Felipe Bressanim Pereira (Felca),intp,207,78%,100%,93%,93%,Ti,Ne,Si,Fe,sp/so,952,ILI,RLUAI,LEFV,Phlegmatic-Sanguine,142,37,38,13,22,8,49,20,11,7,8,3,28
Woody Allen,intp,236,95%,82%,89%,98%,Ti,Ne,Si,Fe,sp/sx,649,ILI,RLUEI,LFVE,Melancholic [Dominant],163,29,19,20,14,9,21,20,13,13,9,5,16
Lou Reed,intp,221,96%,68%,95%,96%,Ti,Ne,Si,Fe,sp/sx,548,ILI,RLUEI,FLEV,Choleric-Melancholic,129,29,19,17,18,6,28,23,14,8,15,3,19
M.I.A.,intp,228,94%,63%,89%,96%,Ti,Ne,Si,Fe,so/sp,548,ILE,RCUEI,VLEF,Phlegmatic-Sanguine,124,30,20,15,18,10,18,21,13,12,14,7,13
Adam Smith,intp,210,100%,97%,99%,96%,Ti,Ne,Si,Fe,so/sp,512,ILI,SCUEI,LVFE,Phlegmatic [Dominant],198,26,21,29,13,14,23,20,12,15,7,12,18
David Byrne,intp,181,99%,99%,99%,97%,Ti,Ne,Si,Fe,sp/so,549,ILE,RCUAI,LVEF,Phlegmatic-Melancholic,173,30,29,22,20,10,20,16,19,14,8,6,16
Karolina Żebrowska,intp,219,99%,98%,99%,97%,Ti,Ne,Si,Fe,so/sp,541,ILE,SCUEI,LFVE,Phlegmatic-Sanguine,209,23,28,16,10,5,22,17,17,11,6,2,20
Matthew Bellamy,intp,218,94%,98%,72%,86%,Ti,Ne,Si,Fe,sx/sp,548,LII,SCUAI,LEVF,Phlegmatic-Melancholic,147,25,23,16,14,7,14,19,16,8,6,5,7
Bogdan Yakubets,intp,263,98%,96%,71%,95%,Ti,Ne,Si,Fe,so/sx,935,EII,RCOAI,ELFV,Sanguine-Phlegmatic,175,15,15,14,6,3,11,8,7,8,5,2,9
Asmongold,intp,206,90%,57%,95%,92%,Ti,Ne,Si,Fe,sp/sx,964,SLI,RLUEN,FLEV,Phlegmatic-Choleric,94,23,22,23,11,7,20,16,14,14,6,3,14
Kim Kataguiri,intp,218,88%,76%,99%,67%,Ti,Ne,Si,Fe,so/sp,613,LII,RCOEI,LVEF,Melancholic-Phlegmatic,121,28,21,16,10,4,21,14,13,12,6,3,13
Dmitri Shostakovich,intp,206,100%,90%,90%,79%,Ti,Ne,Si,Fe,sp/sx,614,LII,RCOAI,FLEV,Melancholic-Phlegmatic,161,15,12,15,10,5,15,9,8,11,4,3,9
Woshingo,intp,235,100%,98%,57%,96%,Ti,Ne,Si,Fe,sp/sx,541,ILI,RLUEN,ELVF,Melancholic [Dominant],121,17,15,10,6,2,22,14,10,8,3,1,15
The Angry Video Game Nerd (Cinemassacre Production),intp,151,79%,68%,79%,69%,Ti,Ne,Si,Fe,sx/so,154,LSI,RLOEI,LEFV,Phlegmatic-Choleric,84,35,33,33,22,8,26,19,17,16,10,4,11
Tina Fey,intp,238,67%,96%,95%,95%,Ti,Ne,Si,Fe,so/sp,584,ILE,SCUEI,VFLE,Phlegmatic-Sanguine,150,16,19,14,10,7,11,9,11,10,5,4,11
Alexander McKechnie (Exurb1a),intp,200,92%,100%,78%,94%,Ti,Ne,Si,Fe,sx/sp,549,ILE,RLUEI,VLFE,Melancholic [Dominant],140,18,21,18,8,1,11,14,11,12,4,1,6
Gottfried Wilhelm Leibniz,intp,171,88%,99%,98%,96%,Ti,Ne,Si,Fe,so/sp,514,ILE,RCOEI,LVEF,Phlegmatic [Dominant],147,20,22,28,6,8,20,7,12,21,5,5,15
Earl Sweatshirt,intp,157,98%,99%,96%,99%,Ti,Ne,Si,Fe,sp/sx,549,ILI,RLUEI,LVEF,Melancholic-Phlegmatic,149,24,25,17,18,5,17,21,11,14,9,3,9
St Thomas Aquinas,intp,157,92%,98%,99%,64%,Ti,Ne,Si,Fe,so/sp,514,LII,RCOAI,LVFE,Phlegmatic [Dominant],95,22,24,27,14,11,23,17,18,22,12,6,14
NileRed,intp,173,98%,64%,98%,92%,Ti,Ne,Si,Fe,so/sp,593,LII,RCOAI,LVEF,Phlegmatic [Dominant],104,26,21,15,15,8,17,24,18,11,12,7,13
Eddy Chen (TwoSetViolin),intp,195,76%,97%,86%,98%,Ti,Ne,Si,Fe,sx/sp,549,LII,RCOEI,LVFE,Phlegmatic-Choleric,135,24,14,5,9,5,16,13,10,4,3,3,6
TJ Kirk (The Amazing Atheist/Deep Fat Fried),intp,142,70%,99%,99%,92%,Ti,Ne,Si,Fe,sx/so,584,ILE,RLUEI,LVFE,Choleric [Dominant],93,26,34,21,12,5,20,18,11,14,7,4,15
Norm Macdonald,intp,176,84%,91%,97%,95%,Ti,Ne,Si,Fe,sp/sx,974,SLI,RCUEI,LEFV,Phlegmatic-Sanguine,133,17,19,25,12,5,17,17,16,16,6,4,14
Lewis Carroll,intp,177,80%,99%,92%,94%,Ti,Ne,Si,Fe,sp/sx,549,ILI,RCOAI,LEVF,Phlegmatic-Melancholic,124,21,19,16,9,7,16,16,15,11,3,7,8
Friedrich Engels,intp,165,63%,97%,95%,93%,Ti,Ne,Si,Fe,so/sx,512,ESE,RCUEI,VLEF,Phlegmatic-Sanguine,96,13,19,26,10,9,14,10,10,10,6,4,7
Bill Murray,intp,166,89%,77%,99%,96%,Ti,Ne,Si,Fe,sp/sx,549,ILE,RCUEI,FLEV,Phlegmatic-Sanguine,107,18,15,21,15,9,13,9,9,12,7,7,6
Kang Hyewon,intp,198,90%,47%,90%,96%,Ti,Ne,Si,Fe,so/sx,974,SLI,RCUAI,FLVE,Phlegmatic [Dominant],89,15,14,6,13,1,17,8,10,6,5,1,8
Fernando Pessoa,intp,150,99%,100%,79%,95%,Ti,Ne,Si,Fe,sp/sx,548,ILI,RLUEI,ELVF,Phlegmatic-Melancholic,115,15,24,10,8,6,7,8,12,7,6,3,4
Jenny Nicholson,intp,188,61%,99%,88%,98%,Ti,Ne,Si,Fe,so/sx,594,ILE,RCUAI,EVLF,Phlegmatic [Dominant],104,14,12,13,9,1,12,7,7,7,8,1,10
Ridley Scott,intp,152,89%,72%,97%,81%,Ti,Ne,Si,Fe,sx/sp,584,ILE,SCOEI,VFLE,Choleric-Phlegmatic,83,13,27,12,10,4,15,10,12,8,4,4,6
Avicenna / Ibn Sina,intp,185,66%,99%,98%,98%,Ti,Ne,Si,Fe,sp/so,521,LII,RCOAI,LVEF,Melancholic-Phlegmatic,121,12,10,13,3,3,9,10,8,10,3,3,8
Eric Wen,intp,167,96%,83%,80%,82%,Ti,Ne,Si,Fe,so/sp,593,LII,RCOAI,LVEF,Phlegmatic [Dominant],134,13,17,7,10,4,17,12,13,5,10,3,15
Bones,intp,148,95%,64%,62%,97%,Ti,Ne,Si,Fe,sp/sx,549,ILI,RLUEI,FLEV,Melancholic-Phlegmatic,64,18,16,13,6,2,15,12,10,8,5,2,6
Gabe Newell (GabeN),intp,144,98%,97%,97%,97%,Ti,Ne,Si,Fe,sp/sx,594,LII,RCUEI,LVEF,Phlegmatic [Dominant],134,22,13,14,8,7,23,16,10,10,4,2,19
Terence Tao,intp,129,97%,83%,92%,77%,Ti,Ne,Si,Fe,sp/so,513,LII,RCOAI,LVFE,Phlegmatic [Dominant],90,17,22,20,17,9,19,14,12,16,8,8,16
Banksy,intp,169,96%,93%,75%,95%,Ti,Ne,Si,Fe,sp/sx,548,ILI,SCUEI,VFLE,Melancholic-Phlegmatic,118,12,7,5,3,2,8,9,6,3,2,2,5
Barack Obama,entp,2723,96%,96%,51%,49%,Ne,Ti,Fe,Si,so/sp,397,EIE,SCOAI,LVFE,Phlegmatic-Sanguine,1232,145,120,117,64,23,106,126,63,54,40,15,77
Satan,entp,1646,81%,76%,77%,82%,Ne,Ti,Fe,Si,sx/so,873,EIE,SLUEI,VFLE,Choleric-Sanguine,958,355,300,131,104,83,223,220,66,77,58,27,107
Kim Jisoo (BLACKPINK),entp,2121,90%,62%,79%,52%,Ne,Ti,Fe,Si,so/sp,972,IEE,SCOAI,VLEF,Sanguine-Phlegmatic,870,177,140,60,69,46,193,143,69,34,50,23,111
Socrates,entp,1161,94%,98%,97%,96%,Ne,Ti,Fe,Si,so/sp,852,ILE,SCUEI,VLEF,Choleric-Sanguine,1054,177,136,125,72,74,97,101,46,98,51,59,70
Yeonjun (TXT),entp,1091,99%,92%,71%,97%,Ne,Ti,Fe,Si,sx/so,378,SEE,SLUAI,EFVL,Choleric-Sanguine,709,173,166,64,73,27,123,122,99,31,49,14,76
Quentin Tarantino,entp,1332,97%,62%,43%,98%,Ne,Fi,Te,Si,sp/sx,738,ILE,SLUEI,VFEL,Choleric-Sanguine,521,78,64,68,39,28,63,44,38,33,35,10,42
Leonardo da Vinci,entp,1038,87%,98%,96%,98%,Ne,Ti,Fe,Si,sx/so,714,ILE,SCUAI,LVEF,Sanguine [Dominant],858,93,71,84,49,40,72,45,51,76,32,28,53
Rafael Lange (Cellbit),entp,784,62%,99%,97%,97%,Ne,Ti,Fe,Si,sp/sx,548,ILE,RLUEI,LVEF,Melancholic-Choleric,473,128,163,58,57,30,125,90,68,49,43,24,94
Alex (Quackity),entp,786,96%,97%,94%,98%,Ne,Ti,Fe,Si,so/sp,793,ILE,SCUAI,VLFE,Sanguine-Phlegmatic,702,116,125,47,47,34,109,87,53,37,27,14,84
Robert Downey Jr.,entp,1167,99%,97%,70%,96%,Ne,Ti,Fe,Si,sp/sx,784,ILE,SCUEI,VFLE,Phlegmatic-Choleric,771,61,44,39,35,11,45,31,25,22,17,8,26
Ricky Gervais,entp,815,98%,98%,54%,97%,Ne,Ti,Fe,Si,sx/so,714,EIE,SCUEI,EVLF,Melancholic-Sanguine,409,40,39,40,16,9,34,22,19,18,9,6,13
Matthew Patrick (MatPat),entp,683,96%,86%,79%,83%,Ne,Ti,Fe,Si,so/sx,729,ILE,SCOAI,LEVF,Sanguine [Dominant],503,51,55,47,55,15,70,47,30,25,32,10,53
Niccolò Machiavelli,entp,621,90%,92%,100%,73%,Ne,Ti,Fe,Si,sp/sx,385,LIE,SCOEI,VLEF,Choleric-Phlegmatic,433,62,71,77,35,25,49,39,44,54,19,14,28
Ethan Klein (h3h3Productions),entp,794,97%,95%,52%,96%,Ne,Ti,Fe,Si,sx/so,749,IEE,SLUAI,EVFL,Sanguine-Melancholic,373,39,40,42,21,9,39,21,15,18,10,4,14
Jay (ENHYPEN),entp,529,97%,97%,94%,91%,Ne,Ti,Fe,Si,sp/so,387,SLE,SLUEI,VLFE,Choleric [Dominant],462,85,92,47,36,22,66,42,53,15,18,16,56
Azealia Banks,entp,498,99%,80%,88%,98%,Ne,Ti,Fe,Si,sx/sp,874,SLE,SLUEI,VFLE,Choleric [Dominant],373,112,86,49,45,22,66,62,42,30,40,16,53
Michael Stevens,entp,549,94%,99%,97%,99%,Ne,Ti,Fe,Si,so/sp,593,ILE,SCUAI,LEFV,Phlegmatic-Sanguine,498,73,57,54,32,17,46,54,23,53,24,12,33
Sunwoo (The Boyz),entp,655,51%,99%,99%,52%,Ne,Ti,Fe,Si,sx/so,538,ILI,RCUEI,VLEF,Choleric [Dominant],319,70,68,20,27,18,41,59,27,13,10,15,28
Boris Johnson,entp,546,99%,76%,96%,98%,Ne,Ti,Fe,Si,so/sx,739,ILE,SCUEI,VELF,Sanguine-Choleric,393,61,47,41,30,26,42,25,26,26,21,11,32
Cole Sprouse,entp,571,71%,99%,95%,96%,Ne,Ti,Fe,Si,sx/sp,593,ILE,SCUEI,LEFV,Melancholic-Sanguine,383,48,44,29,9,5,37,27,14,19,7,2,20
Ryan Reynolds,entp,610,99%,95%,93%,97%,Ne,Ti,Fe,Si,sx/sp,739,ILE,SCUEI,FLVE,Sanguine-Choleric,560,37,29,25,25,10,39,27,22,22,14,7,32
Slavoj Žižek,entp,439,94%,99%,95%,99%,Ne,Ti,Fe,Si,sx/sp,584,ILE,SCUEI,VLEF,Choleric-Phlegmatic,389,71,50,72,40,25,53,37,30,41,29,12,33
Michael Reeves,entp,479,71%,76%,100%,98%,Ne,Ti,Fe,Si,sp/sx,593,ILE,SCUEI,VLFE,Choleric-Sanguine,329,52,66,42,24,14,34,38,24,34,12,6,19
Johnny (NCT),entp,489,98%,92%,80%,91%,Ne,Ti,Fe,Si,so/sp,927,ESE,SCUAI,FELV,Sanguine-Phlegmatic,384,55,62,18,16,5,46,36,15,13,10,2,37
Greg Guevara (Jreg),entp,404,78%,92%,76%,93%,Ne,Ti,Fe,Si,so/sx,549,ILE,RLUAI,ELVF,Phlegmatic-Melancholic,260,68,58,49,33,19,34,42,20,37,21,11,16
Monark,entp,469,83%,98%,65%,99%,Ne,Ti,Fe,Si,sx/so,694,ILE,SLUAI,LVEF,Sanguine [Dominant],236,53,52,35,31,17,48,36,21,27,18,7,18
Conan O'Brien,entp,425,96%,93%,91%,91%,Ne,Ti,Fe,Si,so/sp,729,ILE,SCUEI,LEVF,Sanguine [Dominant],356,28,28,32,20,9,31,20,12,26,10,6,22
Stan Lee,entp,435,97%,97%,87%,94%,Ne,Ti,Fe,Si,sx/so,739,ESE,SCUAI,LFVE,Sanguine [Dominant],362,23,38,36,16,1,37,16,17,25,14,1,30
Richard Feynman,entp,366,97%,99%,99%,93%,Ne,Ti,Fe,Si,so/sp,731,ILE,SCUEI,LVFE,Sanguine-Phlegmatic,338,39,37,54,17,17,28,26,19,48,15,8,21
"Cody Kolodziejzyk ""Cody Ko""",entp,381,98%,78%,95%,98%,Ne,Ti,Fe,Si,so/sx,639,ILE,SCUAI,LEVF,Sanguine-Phlegmatic,283,29,29,20,12,8,25,22,20,19,12,3,24
Hermes,entp,324,99%,98%,98%,99%,Ne,Ti,Fe,Si,so/sx,748,ILE,SCUEI,FVLE,Sanguine [Dominant],308,46,35,24,14,12,44,27,25,21,10,4,29
Steven Crowder,entp,350,98%,71%,93%,94%,Ne,Ti,Fe,Si,so/sx,738,SEE,SCUEI,VFLE,Sanguine-Choleric,230,28,31,35,20,7,23,21,24,16,14,3,20
Ryan Higa (nigahiga),entp,401,64%,99%,87%,98%,Ne,Ti,Fe,Si,so/sp,793,ILE,RLUAI,LEVF,Sanguine-Phlegmatic,204,27,23,19,9,5,19,25,19,15,5,3,13
Maicon Küster,entp,289,85%,92%,88%,98%,Ne,Ti,Fe,Si,so/sx,749,ILE,SCUAI,VLEF,Sanguine-Phlegmatic,213,38,41,26,20,6,50,21,21,19,17,5,34
Voltaire,entp,332,99%,100%,96%,96%,Ne,Ti,Fe,Si,so/sx,748,ILE,SCUEI,EFVL,Sanguine [Dominant],303,28,33,37,9,13,25,20,18,22,5,6,18
David Dobrik,entp,357,99%,66%,63%,96%,Ne,Ti,Fe,Si,sp/so,739,ESE,SCUEN,VEFL,Sanguine-Phlegmatic,194,38,26,13,5,5,16,19,21,6,2,3,11
Filthy Frank,entp,298,98%,93%,97%,99%,Ne,Ti,Fe,Si,sx/sp,784,ILE,SLUEI,LVEF,Choleric [Dominant],274,34,28,16,12,9,39,26,21,12,10,5,34
Bertrand Russell,entp,256,89%,98%,97%,95%,Ne,Ti,Fe,Si,so/sp,512,ILE,SCUAI,LVEF,Phlegmatic-Sanguine,226,32,37,34,18,14,21,25,19,29,9,7,15
John McAfee,entp,264,98%,92%,97%,98%,Ne,Ti,Fe,Si,sp/sx,738,ILE,SCUEI,VLFE,Choleric-Sanguine,238,33,32,45,16,8,18,29,20,25,11,7,14
Rita Lee,entp,267,99%,96%,81%,99%,Ne,Ti,Fe,Si,sx/sp,873,ILE,SLUEI,VFLE,Sanguine-Choleric,207,31,35,14,15,3,41,21,15,13,15,2,33
Lee Siyeon (DREAMCATCHER),entp,242,97%,93%,74%,99%,Ne,Ti,Fe,Si,sx/sp,378,ILE,SCOEI,VEFL,Sanguine-Melancholic,167,50,36,25,15,5,41,27,21,16,6,4,24
Yangyang (WayV) (NCT),entp,279,93%,99%,93%,94%,Ne,Ti,Fe,Si,so/sp,739,ILE,SCUAI,XXXX,Sanguine [Dominant],237,31,29,16,9,0,38,24,16,15,8,0,35
Angel David Revilla (Dross),entp,263,57%,98%,99%,86%,Ne,Ti,Fe,Si,sp/sx,351,ILE,SCOEI,LVFE,Choleric [Dominant],141,30,29,12,24,9,41,19,17,6,10,6,17
Loki,entp,274,97%,97%,98%,98%,Ne,Ti,Fe,Si,sp/sx,783,ILE,SCUEI,VLEF,Sanguine [Dominant],253,22,18,28,10,9,19,13,11,14,5,6,12
Ludwig Ahgren,entp,228,98%,85%,91%,96%,Ne,Ti,Fe,Si,so/sx,731,ILE,SCUAI,FLEV,Sanguine-Phlegmatic,177,36,29,29,24,15,21,26,23,14,11,6,16
Thomas Müller,entp,348,100%,52%,96%,98%,Ne,Ti,Fe,Si,so/sx,739,SEE,SCOAI,EVLF,Sanguine-Choleric,173,13,9,14,8,4,18,9,5,9,3,2,9
Mark Twain,entp,313,99%,100%,66%,100%,Ne,Ti,Fe,Si,sx/so,783,IEE,SCUEI,EFVL,Sanguine-Melancholic,205,15,22,21,9,12,10,10,13,14,6,5,9
Caligula,entp,268,98%,57%,50%,96%,Ne,Ti,Fe,Si,sx/so,863,EIE,SLUEI,FEVL,Choleric-Sanguine,124,19,14,25,13,6,20,12,5,18,10,5,15
Hikaru Nakamura,entp,292,80%,88%,96%,94%,Ne,Ti,Fe,Si,sp/so,612,ILE,SCUEI,VLEF,Phlegmatic-Sanguine,211,23,15,24,7,3,18,16,5,12,2,2,10
Michel Foucault,entp,205,93%,98%,92%,93%,Ne,Ti,Fe,Si,sx/so,748,ILE,SLUEI,FLVE,Sanguine-Melancholic,177,28,34,28,15,17,24,20,17,15,12,8,12
Tom Hanks,entp,298,93%,80%,66%,76%,Ne,Ti,Fe,Si,sp/sx,639,ILE,SCOAI,VLEF,Sanguine [Dominant],159,15,20,20,8,7,12,12,11,7,6,4,10
Sam Hyde / Million Dollar Extreme,entp,169,95%,95%,94%,96%,Ne,Ti,Fe,Si,sx/so,873,SLE,SLUEI,VFLE,Choleric-Sanguine,139,36,43,45,26,10,23,18,13,19,21,6,19
“Weird Al” Yankovic,entp,260,97%,96%,90%,99%,Ne,Ti,Fe,Si,sp/so,749,ILE,SCUAI,LEFV,Sanguine [Dominant],223,17,21,24,10,6,16,12,17,21,9,4,12
Yunho (ATEEZ),entp,280,96%,91%,57%,72%,Ne,Ti,Fe,Si,so/sp,639,ILE,SCUAI,EVLF,Sanguine [Dominant],145,24,20,10,12,7,22,16,10,9,7,5,20
Odysseus,entp,231,98%,97%,99%,90%,Ne,Ti,Fe,Si,sp/so,783,ILE,SCOEI,LFVE,Melancholic-Choleric,201,28,30,15,8,12,15,12,18,7,5,5,8
Kuplinov ► Play,entp,235,95%,70%,80%,83%,Ne,Ti,Fe,Si,so/sp,793,ESE,SCUAI,FELV,Sanguine-Choleric,146,23,18,20,7,18,40,19,11,12,4,13,27
Gege Akutami,entp,256,77%,98%,96%,99%,Ne,Ti,Fe,Si,sx/so,538,ILE,SCUEI,VLFE,Sanguine-Phlegmatic,193,21,22,19,13,12,17,8,8,8,8,8,10
Alex Hirsch,entp,246,76%,100%,91%,99%,Ne,Ti,Fe,Si,sp/so,631,ILE,SCUEI,LEVF,Sanguine-Phlegmatic,164,16,15,17,9,7,23,12,7,14,6,5,16
Catherine the Great,entp,247,98%,94%,94%,68%,Ne,Ti,Fe,Si,sx/so,783,LIE,SCOAI,EFVL,Choleric-Sanguine,152,16,24,25,11,10,16,10,12,12,6,5,15
Jeff Goldblum,entp,235,92%,99%,86%,97%,Ne,Ti,Fe,Si,sx/sp,739,ILE,SCUAI,LEFV,Sanguine-Phlegmatic,188,26,27,17,9,2,17,17,10,11,7,2,9
Anna Kendrick,entp,265,71%,68%,90%,92%,Ne,Ti,Fe,Si,sx/so,739,IEE,SCUEI,LEFV,Sanguine-Phlegmatic,154,21,19,16,6,3,15,14,12,8,4,2,14
Sacha Baron Cohen,entp,248,95%,100%,94%,94%,Ne,Ti,Fe,Si,so/sx,748,ILE,SCUEI,VLEF,Sanguine-Phlegmatic,217,17,14,33,10,5,11,13,8,17,9,3,9
